fdc_id,description,food_category,data_type,brand_owner,ingredients_text,dedup_key,calories,protein_g,carbs_g,fat_g,fiber_g,iron_mg,calcium_mg,vitamin_b12_mcg,vitamin_d_mcg,zinc_mg,sodium_mg,potassium_mg,magnesium_mg,omega3_g
168077,"DENNY'S, golden fried shrimp",,SR Legacy,,,"denny's, golden fried shrimp|",,,,,,,,,,,,,,
169025,"DENNY'S, hash browns",,SR Legacy,,,"denny's, hash browns|",,,,,,,,,,,,,,
168078,"DENNY'S, macaroni & cheese, from kid's menu",,SR Legacy,,,"denny's, macaroni & cheese, from kid's menu|",,,,,,,,,,,,,,
168076,"DENNY'S, mozzarella cheese sticks",,SR Legacy,,,"denny's, mozzarella cheese sticks|",,,,,,,,,,,,,,
169844,"DENNY'S, onion rings",,SR Legacy,,,"denny's, onion rings|",,,,,,,,,,,,,,
169845,"DENNY'S, spaghetti and meatballs",,SR Legacy,,,"denny's, spaghetti and meatballs|",,,,,,,,,,,,,,
167673,"DENNY'S, top sirloin steak",,SR Legacy,,,"denny's, top sirloin steak|",,,,,,,,,,,,,,
170865,"Dessert topping, powdered",,SR Legacy,,,"dessert topping, powdered|",,,,,,,,,,,,,,
170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",,SR Legacy,,,"dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk|",,,,,,,,,,,,,,
170867,"Dessert topping, pressurized",,SR Legacy,,,"dessert topping, pressurized|",,,,,,,,,,,,,,
170868,"Dessert topping, semi solid, frozen",,SR Legacy,,,"dessert topping, semi solid, frozen|",,,,,,,,,,,,,,
169601,"Desserts, apple crisp, prepared-from-recipe",,SR Legacy,,,"desserts, apple crisp, prepared-from-recipe|",,,,,,,,,,,,,,
169595,"Desserts, egg custard, baked, prepared-from-recipe",,SR Legacy,,,"desserts, egg custard, baked, prepared-from-recipe|",,,,,,,,,,,,,,
167574,"Desserts, flan, caramel custard, prepared-from-recipe",,SR Legacy,,,"desserts, flan, caramel custard, prepared-from-recipe|",,,,,,,,,,,,,,
168777,"Desserts, mousse, chocolate, prepared-from-recipe",,SR Legacy,,,"desserts, mousse, chocolate, prepared-from-recipe|",,,,,,,,,,,,,,
169616,"Desserts, rennin, chocolate, dry mix",,SR Legacy,,,"desserts, rennin, chocolate, dry mix|",,,,,,,,,,,,,,
168794,"Desserts, rennin, tablets, unsweetened",,SR Legacy,,,"desserts, rennin, tablets, unsweetened|",,,,,,,,,,,,,,
168792,"Desserts, rennin, vanilla, dry mix",,SR Legacy,,,"desserts, rennin, vanilla, dry mix|",,,,,,,,,,,,,,
170361,"DIGIORNO Pizza, cheese topping, cheese stuffed crust, frozen, baked",,SR Legacy,,,"digiorno pizza, cheese topping, cheese stuffed crust, frozen, baked|",,,,,,,,,,,,,,
